Sample Name,CRF Name,Best Galaxy Match Reef Name,Best Galaxy Match Clonal ID,Region
A22042,Apal-173,ReefRenewal Nursery,HG0925,Florida
A22054,Apal-155,ReefRenewal Nursery,HG0928,Florida
A22065,Apal-153,ReefRenewal Nursery,HG0933,Florida
A22066,Apal-166,ReefRenewal Nursery,HG0915,Florida
A22079,Apal-170,Little Elbow,HG0823,Florida
A22090,Apal-039,Allans Reef,HG0798,Florida
A22094,Apal-041,Elbow Reef,HG1702,Florida
A22097,Apal-051,Elbow Reef,HG1701,Florida
A22098,Apal-087,Brew,HG0788,Florida
A22120,Apal-084,Looe Key,HG0796,Florida
A22123,Apal-037,Triple A,HG1633,Florida
A22124,Apal-048,Looe Key Bouys 10-11,HG0919,Florida
A22126,Apal-033,Looe Key,HG1662,Florida
A22130,Apal-034,CRF,HG0174,Florida
A22132,Apal-056,Grecian Rocks,HG1654,Florida
A22133,Apal-072,ConchReef,HG0537,Florida
A22137,Apal-078,BallBuoy,HG1677,Florida
A22139,Apal-077,Molasses Reef,HG1699,Florida
A22142,Apal-065,Carysfort Reef,HG0541,Florida
A22144,Apal-012,Sombrero Reef,HG1195,Florida
A22146,Apal-156,ReefRenewal Nursery,HG1236,Florida
A22165,Apal-008,BallBuoy,HG1625,Florida
A22230,,Brew,HG0777,Florida
A22231,,CRF,HG0205,Florida
A22233,,Marker 3- Plot 3,HG1189,Florida
A22240,,Brewster Reef,HG2047,Florida
A22241,,Sand Key - N. of Buoy 3,HG0548,Florida
A22249,,South Carysfort,HG0833,Florida
Apal-005_kenkel,,South Carysfort,HG0799,Florida
Apal-016_kenkel,,Horseshoe,HG0004,Florida
Apal-044_kenkel,,Looe Key,HG0827,Florida
Apal-047_kenkel,,Elbow Reef,HG1738,Florida
A22036,Apal-176,Sombrero Reef,HG1196,Florida
A22037,Apal-152,ReefRenewal Nursery,HG0931,Florida
A22048,Apal-151,Looe - backreef,HG0544,Florida
A22064,Apal-150,Looe Key,HG1191,Florida
A22067,Apal-025,Looe - Near Buoy 17 18,HG0542,Florida
A22071,Apal-163,Looe Key,HG0797,Florida
A22077,Apal-171,ReefRenewal Nursery,HG0920,Florida
A22080,Apal-179,Sombrero Reef,HG1204,Florida
A22087,Apal-006,North Carysfort Reef,HG1652,Florida
A22089,Apal-011,Sombrero Reef,HG1207,Florida
A22101,Apal-029,Looe Key,HG0837,Florida
A22102,Apal-003,North of Triple A,HG1640,Florida
A22116,Apal-049,Elbow Reef,HG1697,Florida
A22129,Apal-054,Grecian Rocks,HG0816,Florida
A22140,Apal-028,CRF,HG0185,Florida
A22148,Apal-020,patch E. of Eastern Sambo,HG1076,Florida
A22152,Apal-015,Yellow Rocks,HG1653,Florida
A22160,Apal-059,Turtle Rocks,HG1694,Florida
A22225,,Elbow Reef,HG0824,Florida
A22226,,CRF,HG0197,Florida
A22228,,Phils Reef,HG0828,Florida
AP66_kenkel,,Elbow and Brewster Batch Cross,HG1071,Florida
A1008,,,,Curacao
A11,,SeaAquarium,HG0741,Curacao
A16099,,,,Curacao
A16589,,,,Curacao
A32,,,,Curacao
A93,,,,Curacao
A94,,,,Curacao
A95,,,,Curacao
DR1_kenkel,,Fundemar nursery,HG1281,Dominican Republic
DR2_kenkel,,,,Dominican Republic
DR3_kenkel,,Fundemar nursery,HG1265,Dominican Republic
DR4_kenkel,,Fundemar nursery,HG1262,Dominican Republic
DR5_kenkel,,Fundemar nursery,HG1276,Dominican Republic
J1_kenkel,,Iberostar reef crest,HG1280,Jamaica
J2_kenkel,,Iberostar reef crest,HG1272,Jamaica
J3_kenkel,,Iberostar reef crest,HG1258,Jamaica
J4_kenkel,,Iberostar reef crest,HG1266,Jamaica
J5_kenkel,,Iberostar reef crest,HG1277,Jamaica
M132,,,,Curacao
M145,,Marriott,HG0746,Curacao
M150,,,,Curacao
M1_kenkel,,Playa Paraiso nursery,HG1290,Mexico
M2_kenkel,,Playa Paraiso nursery,HG1273,Mexico
M3_kenkel,,Playa Paraiso nursery,HG1289,Mexico
S18,,SeaAquarium,HG0766,Curacao
SRR12363330,,WaterFactory,HG0111,Curacao
SRR12363331,,WaterFactory,HG0118,Curacao
SRR12363332,,MariePopun,HG0114,Curacao
SRR7235981,,BlueBay,HG0122,Curacao
SRR7235982,,WaterFactory2,HG0082,Curacao
SRR7235984,,BlueBay,HG0121,Curacao
SRR7235985,,SeaAquarium2,HG0105,Curacao
SRR7235986,,SeaAquarium2,HG0128,Curacao
SRR7235987,,EastPoint2,HG0081,Curacao
SRR7235988,,DirectorsBay,HG0087,Curacao
SRR7236002,,JohnsonsReef,HG0086,Virgin Islands
SRR7236003,,Botany2,HG0103,Virgin Islands
SRR7236007,,Sapphire,HG0110,Virgin Islands
SRR7236008,,HansLollik2,HG0134,Virgin Islands
SRR7236009,,HansLollik2,HG0088,Virgin Islands
SRR7236010,,FlatKey2,HG0125,Virgin Islands
SRR7236015,,GloversAtoll,HG0113,Belize
SRR7236016,,GSTF12,HG0126,Belize
SRR7236017,,GloversAtoll,HG0117,Belize
SRR7236018,,SouthCarrieBowCay,HG0115,Belize
SRR7236019,,SouthCarrieBowCay,HG0132,Belize
SRR7236020,,Sandbores2 ,HG0085,Belize
